brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,Number of Ratings,Number of Reviews
0,0,2,1,0,0,2,0,1,0,20490,637,91
5,0,0,0,1,2,0,0,0,0,41490,7,5
5,0,0,2,1,2,0,0,0,0,45490,207,16
5,0,0,2,1,2,0,0,0,0,44490,844,103
0,0,0,2,1,2,0,0,0,0,41890,53,6
5,0,0,2,0,2,0,0,0,0,42990,62,7
2,0,0,2,1,2,0,0,0,0,40990,38,2
5,0,0,2,1,2,0,0,0,0,48990,724,92
5,0,0,2,0,2,0,0,0,0,43590,0,0
5,0,0,0,0,2,0,0,0,0,44690,9,0
0,0,0,0,0,2,0,0,0,0,40990,0,0
5,0,0,2,0,2,0,0,0,0,43990,0,0
5,0,0,0,0,2,0,0,0,0,41390,56,7
5,0,0,0,0,2,0,0,0,0,44290,0,0
5,0,0,2,0,2,0,0,0,0,48999,0,0
5,0,0,2,0,2,0,0,0,0,39990,170,11
5,0,0,0,1,2,0,0,0,0,46390,95,5
0,0,2,1,0,0,2,0,0,0,18990,197,25
0,0,2,1,0,0,2,0,1,0,17990,1180,148
4,0,2,1,0,0,2,0,0,0,26470,232,23
4,0,2,1,0,0,2,0,0,0,27990,596,65
1,0,2,1,0,0,0,0,1,0,29999,19,1
1,0,2,1,0,0,2,0,0,0,25990,84,16
1,0,2,1,0,0,2,0,1,0,16990,414,54
1,0,2,1,0,0,2,0,1,0,24990,70,16
2,0,1,1,1,0,2,0,1,2,50990,10966,1185
2,0,1,1,1,0,2,0,1,0,119990,1,1
2,0,1,0,1,0,2,1,1,0,94190,31,6
0,0,1,0,1,0,2,1,1,2,106167,1881,241
5,0,1,0,1,0,2,1,1,2,68090,23,4
5,0,1,0,1,0,2,1,1,0,139990,0,0
4,0,1,0,1,0,2,1,1,0,55990,818,109
4,0,1,0,1,0,2,1,1,2,102551,0,0
1,0,1,0,1,0,2,1,1,1,46990,4428,569
4,0,1,4,1,3,1,0,0,0,76012,129,16
1,0,1,2,1,2,1,0,0,0,49490,365,35
2,0,1,3,1,2,1,0,0,0,86867,39,3
0,0,1,2,1,2,1,0,0,0,48990,0,0
5,0,1,2,1,2,1,0,0,0,55990,3,0
2,0,1,4,1,2,1,0,0,0,81998,14,3
4,0,1,4,1,2,1,0,0,0,136590,0,0
2,0,1,4,1,2,1,0,0,0,59490,33,7
0,0,1,2,1,2,1,0,0,0,49800,0,0
1,0,1,2,1,2,1,0,0,0,61999,4,0
4,0,1,2,1,1,1,0,0,0,54990,116,15
4,0,1,2,1,1,1,0,0,0,53990,206,17
1,0,1,2,1,1,1,0,0,0,52990,300,24
4,0,1,2,2,1,1,0,0,0,67990,108,6
0,0,1,0,1,1,1,0,0,2,57990,3712,412
1,0,1,2,2,1,1,0,0,0,62300,825,95
1,0,1,2,1,1,1,0,0,0,52990,0,0
1,0,1,2,1,1,1,0,0,0,51990,85,4
1,0,1,2,2,1,1,0,0,0,61990,56,7
0,0,1,2,1,1,1,0,1,0,63990,10,1
1,0,1,2,1,1,1,0,0,0,65990,17,4
2,0,1,2,1,1,1,0,0,0,52990,155,20
1,0,1,0,1,1,1,0,0,0,49990,0,0
0,0,1,2,1,1,1,0,0,2,71990,91,17
0,0,1,0,1,1,1,0,0,0,47990,35,2
1,0,1,0,1,1,1,0,1,0,48490,126,13
0,0,1,2,1,1,1,0,0,2,72990,74,10
6,0,1,2,2,1,1,0,0,2,76990,75,17
0,0,1,2,2,1,1,0,0,3,89990,124,17
6,0,1,0,1,1,1,0,0,2,59990,1597,228
0,0,1,0,1,1,1,0,0,2,65990,3850,378
5,0,1,2,1,1,1,0,0,0,71990,7,1
5,0,1,2,1,1,1,0,0,0,71890,3,0
1,0,1,2,2,1,1,0,0,0,64990,0,0
0,0,1,2,2,1,1,0,0,0,65990,0,0
4,0,1,2,1,1,1,0,0,0,55999,5,1
0,0,1,2,2,1,1,0,0,2,73490,213,45
4,0,1,2,2,1,1,0,0,0,74490,10,0
4,0,1,2,1,1,1,0,0,0,58340,69,6
2,0,1,2,1,1,1,0,0,0,55999,6,0
5,0,1,2,2,1,1,0,0,0,67990,93,9
0,0,1,2,2,1,1,0,0,0,59990,11,2
0,0,1,2,2,1,1,0,0,3,82990,262,31
5,0,1,2,1,1,1,0,0,1,64190,0,0
